site,n_obs,ra_std,dec_std
N54,2268,0.28277184578960723,0.21904316966359957
A16,2246,0.5163328820551418,0.4377720546814923
A60,2244,0.9852886500276928,0.8821152050124701
L92,2191,0.5535827310531906,0.4257507426965917
K74,2191,0.1726999378166396,0.17339200140063626
I93,2179,0.17546596589756858,0.15298635383120576
E09,2165,0.1377412035935348,0.08998430297553509
B96,2132,0.5064799551691543,0.4535521898256063
W34,2131,0.2766274495434718,0.25228779480132485
402,2121,0.9370026802688675,0.7745368210193682
938,2076,0.26715343204199854,0.2773290096596156
422,2051,0.48785348956044045,0.38137639651477706
Y84,2045,0.21587454878049228,0.1621773085426794
919,2038,0.6015116431314977,0.47916577303524827
261,2025,0.6666460255017955,0.5066515272591191
134,1972,0.10112500525203187,0.09116717893063267
H68,1961,0.2977573707521089,0.24701145526244916
X33,1943,0.548276202045442,0.4098552768008805
493,1911,0.5096582381030267,0.3256283477167893
L36,1909,0.1831709286702033,0.19551416786009626
595,1894,0.7720111387147641,0.6669466104532635
I69,1887,0.4342156815392445,0.36284606960897303
710,1879,0.6415364641092021,0.6335029096737713
W53,1858,0.27608720155007777,0.18240599935796314
J51,1858,0.28979005606368147,0.23021009465198689
V78,1858,0.36771705725198783,0.2748742790082832
905,1832,0.9014690181255278,0.7400055482046118
054,1808,0.9001523527972923,0.7483658969400049
240,1787,0.33295911741054296,0.23679824482107573
L47,1748,0.8874552736605797,0.7308038374860808
816,1746,0.4846521522707578,0.4398246998557537
X19,1739,0.44027237039872064,0.37086285657262774
303,1707,1.1233943195097784,0.825172375795183
439,1695,0.4803207654870829,0.4653807434443047
I10,1636,0.8891913049046754,0.8441001757188087
H53,1618,0.3384753623392179,0.24010078013157468
G40,1612,0.1761677553378572,0.1592768786160982
N94,1611,0.16482972358309778,0.13454389335579703
735,1602,0.4117270168501844,0.35284241400679633
D08,1594,0.5517291570932138,0.2850418764009767
414,1589,0.997688447587045,0.7924528015312131
Q11,1578,0.20167421853943243,0.1894917504869579
874,1568,0.20367124827475924,0.13190020691125906
958,1567,0.5472188011496525,0.44580642793805403
M11,1566,0.24909561590615406,0.20286049446300763
143,1558,0.47765394866205174,0.44455245809841215
